"soort","aanwezigheid","lengtegraad","breedtegraad","provincie"
"Ichthyosaura alpestris",1,5.95,51.05,"Limburg"
"Ichthyosaura alpestris",1,5.95,51.05,"Limburg"
"Ichthyosaura alpestris",1,5.35,52,"Utrecht"
"Ichthyosaura alpestris",1,5.25,52.05,"Utrecht"
"Ichthyosaura alpestris",1,5.6,51.65,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.75,50.8,"Limburg"
"Ichthyosaura alpestris",1,6.7,51.9,"Gelderland"
"Ichthyosaura alpestris",1,6,51.5,"Limburg"
"Ichthyosaura alpestris",1,5.55,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.6,51.65,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.8,51.6,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.85,51.6,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.9,51.65,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.3,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.55,51.35,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.45,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.8,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,4.8,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.9,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.95,51.2,"Limburg"
"Ichthyosaura alpestris",1,5.6,52.55,"Flevoland"
"Ichthyosaura alpestris",1,6.15,51.3,"Limburg"
"Ichthyosaura alpestris",1,5.4,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.2,52.85,"Drenthe"
"Ichthyosaura alpestris",1,6.2,52.85,"Drenthe"
"Ichthyosaura alpestris",1,6.2,52.85,"Drenthe"
"Ichthyosaura alpestris",1,6.2,52.85,"Drenthe"
